Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,coordinates,latitude,longitude
1026804,2018-01-14,Alabama,Eutaw,809 Mesopotamia St,1,4,View Incident View Source,"32.850597, -87.9024882",32.850597,-87.9024882
1027013,2018-01-14,Alabama,Madison,101 Westchester Dr,0,4,View Incident View Source,"34.6741315, -86.7597356",34.6741315,-86.75973559999998
1025673,2018-01-12,Tennessee,Nashville,2614 Jenkins Ct,3,2,View Incident View Source,"36.1820035, -86.82044549999999",36.1820035,-86.82044549999998
1025272,2018-01-11,Missouri,Saint Robert (St Robert),St Robert Outer Road and Houston Road,2,2,View Incident View Source,"37.831855, -92.1035309",37.831855,-92.1035309
1022067,2018-01-07,Alabama,Union Springs,US-29,1,5,View Incident View Source,"32.1443157, -85.7135042",32.1443157,-85.7135042
1022055,2018-01-07,Florida,Plantation,5225 W Broward Blvd,0,4,View Incident View Source,"26.1219053, -80.2188382",26.1219053,-80.2188382
1021788,2018-01-05,Mississippi,Hattiesburg,6168 US 49,0,6,View Incident View Source,"31.3268935, -89.3285078",31.3268935,-89.3285078
1020574,2018-01-04,Arkansas,Brinkley,615 W 6th St,1,3,View Incident View Source,"34.9037321, -91.19886220000001",34.9037321,-91.1988622
1018295,2018-01-01,Alabama,Huntsville,2025 Sparkman Dr NW,1,3,View Incident View Source,"34.7628076, -86.59455670000001",34.7628076,-86.59455670000001
1017372,2017-12-31,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,View Incident View Source,"39.565072, -104.9489791",39.565072,-104.9489791
1017422,2017-12-31,Illinois,Chicago,2335 Howard St,0,4,View Incident View Source,"42.0194397, -87.68909149999999",42.01943970000001,-87.68909149999998
1018118,2017-12-31,New Jersey,Long Branch,635 Wall St,4,0,View Incident View Source,"40.292499, -74.0031348",40.292499,-74.0031348
1015666,2017-12-27,Nevada,Las Vegas,3750 E Bonanza Rd,2,2,View Incident View Source,"36.1752927, -115.0944156",36.1752927,-115.09441559999999
1015336,2017-12-26,Florida,Miami,NW 18th Ave and 86th Ter,0,5,View Incident View Source,"25.8532542, -80.2276661",25.8532542,-80.2276661
1013983,2017-12-24,Mississippi,Vicksburg,1111 Mulberry Street,0,5,View Incident View Source,"32.3516708, -90.88272769999999",32.3516708,-90.8827277
1014052,2017-12-24,Alabama,Troy,100 block of Chapman St,1,4,View Incident View Source,"31.8090063, -85.96004359999999",31.809006300000004,-85.96004359999998
1014971,2017-12-23,Louisiana,Eunice,100 block of City Avenue,1,3,View Incident View Source,"30.4844003, -92.404098",30.484400300000004,-92.404098
1013377,2017-12-23,Alabama,Birmingham,3rd Ave N and 9th St N,0,4,View Incident View Source,"33.509112, -86.822006",33.509112,-86.822006
1011953,2017-12-21,Pennsylvania,Philadelphia,6600 block of Dorel St,1,3,View Incident View Source,"39.9180218, -75.227874",39.9180218,-75.227874
1012704,2017-12-21,Louisiana,Lafayette,1500 block of N University Avenue,0,4,View Incident View Source,"30.24931389999999, -92.03472389999999",30.24931389999999,-92.0347239
1009629,2017-12-16,Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4,View Incident View Source,"33.1777395, -89.4401956",33.1777395,-89.4401956
1008310,2017-12-15,California,Pacoima,13041 Jouett Street,0,5,View Incident View Source,"34.2658676, -118.4172459",34.26586760000001,-118.4172459
1007054,2017-12-13,Ohio,Columbus,200 block of E Barthman Ave,1,3,View Incident View Source,"39.9242362, -82.9899873",39.9242362,-82.9899873
1006150,2017-12-12,Kentucky,Louisville,17th and Gallagher Streets,0,4,View Incident View Source,"38.235938, -85.782482",38.235938,-85.782482
1006446,2017-12-12,Texas,Garland,1301 Rivercrest Ln,0,4,View Incident View Source,"32.924382, -96.6059777",32.924382,-96.6059777
1004454,2017-12-09,Massachusetts,Boston,Proctor St,0,4,View Incident View Source,"42.3269401, -71.0691617",42.3269401,-71.06916170000001
1002514,2017-12-06,Illinois,Chicago,4620 N Broadway,0,4,View Incident View Source,"41.9658331, -87.6579306",41.9658331,-87.6579306
1001566,2017-12-04,Pennsylvania,Pittsburgh,7200 block of Everton St,2,2,View Incident View Source,"40.4631319, -79.8933938",40.46313189999999,-79.8933938
1000479,2017-12-03,Tennessee,Memphis,656 Marshall Ave,1,3,View Incident View Source,"35.1402364, -90.0388881",35.1402364,-90.0388881
999969,2017-12-02,Michigan,Detroit,5200 Woodward Avenue,0,4,View Incident View Source,"42.3594422, -83.0643655",42.359442200000004,-83.06436550000001
998843,2017-11-30,Michigan,Detroit,11000 block of Gunston,1,4,View Incident View Source,"42.4080845, -82.99364349999999",42.408084499999994,-82.99364349999998
994323,2017-11-24,Mississippi,Brookhaven,119 Martin Street,1,6,View Incident View Source,"31.5790588, -90.4406506",31.5790588,-90.4406506
995015,2017-11-24,Ohio,Cleveland,11618 Buckeye Rd,1,5,View Incident View Source,"41.4807147, -81.60217770000001",41.48071470000001,-81.60217770000001
991017,2017-11-18,Minnesota,Minneapolis,3600 block of N Emerson Ave,0,4,View Incident View Source,"45.02048569999999, -93.293973",45.02048569999999,-93.293973
990974,2017-11-17,Louisiana,New Iberia,900 Block of Mississippi St,0,4,View Incident View Source,"30.0111581, -91.8413013",30.0111581,-91.8413013
989838,2017-11-16,Georgia,Columbus,1400 block of 15th Street,0,7,View Incident View Source,"32.4741814, -84.97139179999999",32.4741814,-84.97139179999998
988824,2017-11-14,California,Richmond,900 Block of View Dr,2,2,View Incident View Source,"37.977882, -122.313528",37.977882,-122.313528
987611,2017-11-14,California,Corning,17357 Stagecoach Rd,6,12,View Incident View Source,"40.0187478, -122.3930903",40.01874779999999,-122.3930903
986236,2017-11-12,Indiana,Gary,4601 Melton Rd,0,7,View Incident View Source,"41.5949857, -87.2812842",41.5949857,-87.2812842
987134,2017-11-12,California,Fresno,S Calvin Ave,0,5,View Incident View Source,"36.681821, -119.7342994",36.681821,-119.7342994
986816,2017-11-12,Georgia,Atlanta,50 Lower Alabama St,2,2,View Incident View Source,"33.751539, -84.38986589999999",33.751539,-84.38986589999998
985582,2017-11-11,Texas,Dallas,2532 Martin Luther King Jr Blvd,1,3,View Incident View Source,"32.7666882, -96.77068299999999",32.7666882,-96.770683
985832,2017-11-11,North Carolina,Fayetteville,2835 Bragg Blvd,1,5,View Incident View Source,"35.0736788, -78.9278076",35.073678799999996,-78.9278076
986092,2017-11-11,Louisiana,New Orleans,Forstall St and Burgundy St,1,5,View Incident View Source,"29.9602617, -90.02212089999999",29.960261699999997,-90.02212089999998
984822,2017-11-10,Ohio,Dayton (Trotwood),193 Olive Rd,0,4,View Incident View Source,"39.7492184, -84.2925357",39.749218400000004,-84.2925357
984455,2017-11-09,Pennsylvania,Philadelphia,1800 block of Ringgold,0,4,View Incident View Source,"39.9301445, -75.1859671",39.9301445,-75.1859671
980577,2017-11-05,Texas,Sutherland Springs,216 4th St,27,20,View Incident View Source,"29.2734487, -98.05625769999999",29.273448699999996,-98.0562577
980269,2017-11-04,Texas,Austin,N Lamar Blvd and Masterson Pass,0,4,View Incident View Source,"30.37121, -97.6924185",30.371209999999998,-97.6924185
980192,2017-11-04,Ohio,Youngstown,2810 Market St,0,4,View Incident View Source,"41.0710585, -80.6582258",41.0710585,-80.6582258
980060,2017-11-04,California,Santa Monica,1515 Ocean Avenue,1,3,View Incident View Source,"34.0125175, -118.4954743",34.0125175,-118.4954743
979651,2017-11-03,Minnesota,Minneapolis,10th Ave S and E 24th St,0,4,View Incident View Source,"44.9591262, -93.2600279",44.95912620000001,-93.26002790000001
980258,2017-11-03,California,Gardena,E 163rd St and S Main St,0,4,View Incident View Source,"33.88386750000001, -118.275879",33.88386750000001,-118.275879
980004,2017-11-03,New York,Buffalo,147 Roosevelt Ave,0,4,View Incident View Source,"42.9336703, -78.8079851",42.933670299999996,-78.8079851
980401,2017-11-03,Louisiana,Lacombe,27600 block of Mirmar Street,1,4,View Incident View Source,"30.3098371, -89.9421959",30.309837100000003,-89.9421959
975600,2017-10-29,Texas,Austin,5500 block of Ave F,1,3,View Incident View Source,"30.320056, -97.7198711",30.320056,-97.71987109999999
975817,2017-10-28,Ohio,Toledo,1327 N Huron St,0,4,View Incident View Source,"41.6618289, -83.5220337",41.661828899999996,-83.52203370000001
974704,2017-10-28,Virginia,Petersburg,N Sycamore St and Franklin,1,3,View Incident View Source,"37.2285381, -77.4035777",37.2285381,-77.4035777
974051,2017-10-27,Kentucky,Louisville,1716 Prentice St,0,6,View Incident View Source,"38.2409351, -85.78430139999999",38.2409351,-85.78430139999998
974411,2017-10-27,California,San Francisco,1100 block of Fillmore,0,4,View Incident View Source,"37.7798868, -122.4317277",37.77988679999999,-122.4317277
966895,2017-10-23,California,Clearlake Oaks,13000 block of Anchor Village,2,3,View Incident View Source,"39.0242052, -122.6610864",39.024205200000004,-122.6610864
966153,2017-10-22,Connecticut,Hartford,Wethersfield Avenue and Elliott Street,0,4,View Incident View Source,"41.7464242, -72.673327",41.7464242,-72.673327
966178,2017-10-22,Alabama,Lanett,1606 19th St Sw,2,7,View Incident View Source,"32.8439199, -85.2437375",32.843919899999996,-85.2437375
965066,2017-10-21,Florida,Tampa,400 block of E Nordica St,0,4,View Incident View Source,"27.9781718, -82.45660769999999",27.9781718,-82.45660769999998
965077,2017-10-21,Florida,Jacksonville,164 E Eubanks St,0,4,View Incident View Source,"30.4847226, -81.62232449999999",30.4847226,-81.62232449999998
965756,2017-10-21,Tennessee,Nashville,1277 12th Ave S,0,4,View Incident View Source,"36.14142700000001, -86.78853",36.14142700000001,-86.78853000000001
965251,2017-10-21,Pennsylvania,Chester,1200 block of W Carlas Ln,0,4,View Incident View Source,"39.8470906, -75.3826072",39.8470906,-75.38260720000001
962359,2017-10-18,Maryland,Edgewood,2111 Emmorton Park Rd,3,3,View Incident View Source,"39.4520375, -76.3099044",39.4520375,-76.30990440000001
962155,2017-10-17,New York,Brooklyn,181 Martense St,0,4,View Incident View Source,"40.6516373, -73.9528732",40.6516373,-73.95287320000001
962623,2017-10-16,Mississippi,Meridian,5th Street,1,3,View Incident View Source,"32.3610284, -88.71413340000001",32.361028399999995,-88.71413340000002
960036,2017-10-15,Texas,Houston,6233 Gulfton St,2,2,View Incident View Source,"29.7159758, -95.4915044",29.715975800000002,-95.49150440000001
