,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,coordinates,latitude,longitude
4812,1924338,"February 09, 2021",Minnesota,Buffalo,755 Crossroads Campus Dr,1,4,View Incident View Source,"45.1781559, -93.8632021",45.1781559,-93.8632021
4813,1921939,"February 06, 2021",Tennessee,Murfreesboro,Ewing Blvd and West St,1,4,View Incident View Source,"35.8495625, -86.3761894",35.8495625,-86.3761894
4814,1923786,"February 06, 2021",Louisiana,Thibodaux,1100 block of Tiger Dr,0,4,View Incident View Source,"29.7880172, -90.83767569999999",29.7880172,-90.83767569999999
4815,1921768,"February 06, 2021",Illinois,Bloomingdale,250 W Schick Rd,1,5,View Incident View Source,"41.9526258, -88.0989293",41.9526258,-88.0989293
4816,1922354,"February 06, 2021",Washington,Tacoma,3634 E McKinley Ave,1,3,View Incident View Source,"47.2251837, -122.4211963",47.2251837,-122.4211963
4817,1921641,"February 05, 2021",Pennsylvania,Mohnton,360 E Wyomissing Ave,1,3,View Incident View Source,"40.2922534, -75.9782993",40.2922534,-75.9782993
4818,1924951,"February 05, 2021",Mississippi,Benoit,1017 Lake Bolivar Rd,3,1,View Incident View Source,"33.6596266, -91.0540309",33.6596266,-91.0540309
4819,1920771,"February 04, 2021",North Carolina,High Point,2912 W English Rd,2,3,View Incident View Source,"35.9306573, -80.0430355",35.9306573,-80.0430355
4820,1919399,"February 03, 2021",Tennessee,Memphis,800 block of Olympic St,1,3,View Incident View Source,"35.1608371, -90.01632339999999",35.1608371,-90.01632339999999
4821,1919696,"February 03, 2021",Colorado,Oak Creek,200 block of Wild Hogg Dr,3,2,View Incident View Source,"40.2785397, -106.9564384",40.2785397,-106.9564384
4822,1917918,"February 02, 2021",Florida,Fort Lauderdale (Sunrise),10100 Reflections Blvd W,3,3,View Incident View Source,"26.1779789, -80.28929339999999",26.1779789,-80.28929339999999
4823,1917909,"February 02, 2021",Oklahoma,Muskogee,903 Indiana St,6,1,View Incident View Source,"35.7324211, -95.3479583",35.7324211,-95.3479583
4824,1917661,"February 01, 2021",New York,Rochester,400 block of Lyell Avenue,1,3,View Incident View Source,"43.16479229999999, -77.6363262",43.16479229999999,-77.6363262
4825,1432930,"June 26, 2019",Ohio,Akron,900 block of Rowe St,1,3,View Incident View Source,"41.0539403, -81.50205430000001",41.0539403,-81.50205430000001
4826,1433857,"June 26, 2019",Wisconsin,Milwaukee,2800 block of N 34th St,0,4,View Incident View Source,"43.069893, -87.9559",43.069893,-87.9559
4827,1429475,"June 23, 2019",California,La Jolla,7500 block of Draper Ave,1,3,View Incident View Source,"32.8396762, -117.2761278",32.8396762,-117.2761278
4828,1429810,"June 23, 2019",California,San Jose,568 Habbitts Court,5,0,View Incident View Source,"37.3010716, -121.8417386",37.3010716,-121.8417386
4829,1429047,"June 23, 2019",Indiana,South Bend,1150 E Mishawaka Ave,1,10,View Incident View Source,"41.6663944, -86.2330389",41.6663944,-86.2330389
4830,1429480,"June 23, 2019",Ohio,Columbus,1767 Genessee Ave,0,5,View Incident View Source,"40.0187554, -82.9634088",40.0187554,-82.9634088
4831,1429338,"June 23, 2019",South Carolina,Abbeville,1108 Cambridge St,3,1,View Incident View Source,"34.1886196, -82.3579247",34.1886196,-82.3579247
4832,1429399,"June 22, 2019",Virginia,Hampton,1st St and E Pembroke Ave,0,4,View Incident View Source,"37.0408796, -76.30382589999999",37.0408796,-76.30382589999999
4833,1429022,"June 22, 2019",Pennsylvania,Philadelphia,2400 block of Moore St,0,4,View Incident View Source,"39.9300578, -75.185302",39.9300578,-75.185302
4834,1428595,"June 22, 2019",Maryland,Baltimore,800 block of N Port St,1,4,View Incident View Source,"39.3001869, -76.5832693",39.3001869,-76.5832693
4835,1428788,"June 21, 2019",Michigan,Saginaw,1506 N Charles St,1,3,View Incident View Source,"43.4296369, -83.9677083",43.4296369,-83.9677083
4836,1427483,"June 21, 2019",Illinois,Chicago,6300 block of S King Dr,0,4,View Incident View Source,"41.7792315, -87.6160233",41.7792315,-87.6160233
4837,1428047,"June 21, 2019",California,Santa Maria,519 West Taylor St,5,0,View Incident View Source,"34.975691, -120.440787",34.975691,-120.440787
4838,1428229,"June 21, 2019",California,Richmond,700 block of 14th St,0,5,View Incident View Source,"37.9421263, -122.356409",37.9421263,-122.356409
4839,1426537,"June 20, 2019",Pennsylvania,Allentown,343 Hamilton St,0,10,View Incident View Source,"40.6050018, -75.4629204",40.6050018,-75.4629204
4840,1425193,"June 18, 2019",New Jersey,Newark,700 block of Dr Martin Luther King Jr Blvd,1,4,View Incident View Source,"40.728212, -74.18249089999999",40.728212,-74.18249089999999
4841,1425161,"June 17, 2019",Texas,San Antonio,E Market St and Tower of the Americas Way,0,4,View Incident View Source,"29.4213971, -98.48100219999999",29.4213971,-98.48100219999999
4842,1424957,"June 17, 2019",Tennessee,Memphis,2872 Coach Dr,0,5,View Incident View Source,"35.2042186, -89.9250124",35.2042186,-89.9250124
4843,1423697,"June 16, 2019",Pennsylvania,Philadelphia,6900 block of Reedbird Pl,1,5,View Incident View Source,"39.9108889, -75.22947169999999",39.9108889,-75.22947169999999
4844,1423330,"June 16, 2019",Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,View Incident View Source,"38.2354477, -85.7875766",38.2354477,-85.7875766
4845,1423435,"June 16, 2019",Iowa,Des Moines,1200 block of Sampson St,0,6,View Incident View Source,"41.6008703, -93.5927032",41.6008703,-93.5927032
