,incident_id,incident_date,state,city_county,address,number_killed,number_injured,latitude,longitude
114,1940190,2021-02-27,Mississippi,Pattison,Pattison-Tillman Rd,2,3,31.8917682,-90.8859682
115,1940069,2021-02-26,Texas,Houston,8708 Beechnut St,1,5,29.690934,-95.538361
116,1939789,2021-02-26,Louisiana,Baton Rouge,4700 block of Paige St,0,4,30.5169837,-91.1447315
117,1939958,2021-02-26,California,San Diego,841 S 45th St,1,3,32.6971111,-117.09781
118,1934704,2021-02-21,Missouri,Kennett,1615 1st St,1,4,36.2358726,-90.0363721
119,1935235,2021-02-21,North Carolina,Teachey,Thomas Smith Ln and Bay Rd,0,4,34.812221,-77.9641444
120,1934225,2021-02-20,Pennsylvania,Norristown (East Norriton),2912 Swede Rd,1,4,40.1460627,-75.3162552
121,1933975,2021-02-20,Colorado,Grand Junction,1000 block of Teller Ave,1,3,39.0754035,-108.5559559
122,1934181,2021-02-20,Illinois,Springfield,1100 block of S Grand Ave W,1,4,39.7869007,-89.6699773
123,1934077,2021-02-20,Louisiana,Metairie,6719 Airline Dr,3,2,29.978333,-90.2082093
124,1932479,2021-02-18,Louisiana,Baton Rouge,2047 N Foster Dr,1,3,30.4673937,-91.1399873
125,1931288,2021-02-17,Pennsylvania,Philadelphia,5597 Old York Rd,0,8,40.03888,-75.144406
126,1930463,2021-02-16,Florida,Saint Petersburg,2968 Emerson Ave S,3,1,27.7654629,-82.67372259999999
127,1928557,2021-02-13,California,San Francisco,3rd St and Quesada Ave,0,6,37.7331886,-122.3912154
128,1928594,2021-02-13,Indiana,Indianapolis,3800 block of N Sherman Dr,0,4,39.8253431,-86.10270899999999
129,1928149,2021-02-13,California,Oakland,1000 block of Washington St,0,6,37.8052818,-122.2721909
130,1928205,2021-02-13,North Carolina,Cary,101 Reed St,1,3,35.7901411,-78.7628962
131,1926742,2021-02-11,Georgia,Columbus,2001 South Lumpkin Rd,1,4,32.4156457,-84.952857
132,1926701,2021-02-10,Georgia,Atlanta,62 Harwell Rd NW,0,4,33.7544703,-84.4938471
133,1924892,2021-02-09,Texas,Houston,945 W Little York Rd,0,4,29.8649326,-95.42335
134,1924338,2021-02-09,Minnesota,Buffalo,755 Crossroads Campus Dr,1,4,45.1781559,-93.8632021
135,1921939,2021-02-06,Tennessee,Murfreesboro,Ewing Blvd and West St,1,4,35.8495625,-86.3761894
136,1923786,2021-02-06,Louisiana,Thibodaux,1100 block of Tiger Dr,0,4,29.7880172,-90.83767569999999
137,1921768,2021-02-06,Illinois,Bloomingdale,250 W Schick Rd,1,5,41.9526258,-88.0989293
138,1922354,2021-02-06,Washington,Tacoma,3634 E McKinley Ave,1,3,47.2251837,-122.4211963
139,1921641,2021-02-05,Pennsylvania,Mohnton,360 E Wyomissing Ave,1,3,40.2922534,-75.9782993
140,1924951,2021-02-05,Mississippi,Benoit,1017 Lake Bolivar Rd,3,1,33.6596266,-91.0540309
141,1920771,2021-02-04,North Carolina,High Point,2912 W English Rd,2,3,35.9306573,-80.0430355
142,1919696,2021-02-03,Colorado,Oak Creek,200 block of Wild Hogg Dr,3,2,40.2785397,-106.9564384
143,1919399,2021-02-03,Tennessee,Memphis,800 block of Olympic St,1,3,35.1608371,-90.01632339999999
144,1917918,2021-02-02,Florida,Fort Lauderdale (Sunrise),10100 Reflections Blvd W,3,3,26.1779789,-80.28929339999999
145,1917909,2021-02-02,Oklahoma,Muskogee,903 Indiana St,6,1,35.7324211,-95.3479583
146,1917661,2021-02-01,New York,Rochester,400 block of Lyell Avenue,1,3,43.16479229999999,-77.6363262
147,1916468,2021-01-31,Illinois,Chicago,W Congress Pkwy and S Independence Blvd,0,4,41.8744733,-87.7197836
148,1916374,2021-01-30,New York,Albany,200 block of Central Ave,1,4,42.662035,-73.76966709999999
149,1914798,2021-01-29,Pennsylvania,Mc Kees Rocks (Mckees Rocks),824 Island Ave,2,3,40.4739268,-80.0631688
150,1914942,2021-01-28,Michigan,Flint,1900 block of Tebo St,1,4,43.0075131,-83.64628069999999
151,1913708,2021-01-27,California,Santa Ana,1614 S Standard Ave,0,4,33.7260763,-117.8568531
152,1911026,2021-01-25,District of Columbia,Washington,1406 Good Hope Rd SE,1,4,38.8669297,-76.9848052
153,1910136,2021-01-24,Indiana,Indianapolis,3540 Adams St,5,1,39.8211575,-86.10867370000001
154,1910619,2021-01-24,Nevada,Las Vegas,W Wilson Ave and H St,0,5,36.1781985,-115.151847
155,1909849,2021-01-22,Kentucky,Covington,217 E Martin Luther King Jr Blvd,0,5,39.0781504,-84.5045143
156,1908542,2021-01-21,California,Oakland,107th Ave and Apricot St,1,3,37.7351411,-122.1720888
157,1905423,2021-01-18,Pennsylvania,Tobyhanna,960 PA-196,0,4,41.1888,-75.356
158,1904063,2021-01-17,Arizona,Phoenix,2340 W Northern Ave,0,5,33.5543579,-112.1092554
159,1904036,2021-01-17,Arizona,Phoenix,2236 E University Dr,1,6,33.4244725,-112.0333849
160,1905360,2021-01-16,Illinois,Kankakee,600 block of N Evergreen Ave,0,5,41.1255325,-87.85148079999999
161,1903058,2021-01-15,Pennsylvania,Philadelphia,5000 block of N 10th St,0,4,40.0283828,-75.1401837
162,1899819,2021-01-11,Florida,Miami,2491 NE 58th St,0,4,25.8285858,-80.1879665
163,1898261,2021-01-09,Illinois,Evanston,100 Asbury Ave,6,2,42.0198259,-87.69052719999999
164,1897878,2021-01-09,Texas,Houston,5828 Martin Luther King Blvd,1,3,29.6963386,-95.3378041
165,1896774,2021-01-07,District of Columbia,Washington,1300 block of Columbia Rd NW,0,5,38.9274332,-77.0306147
166,1896384,2021-01-06,Texas,Livingston,201 Maple Ln,2,2,30.6929056,-94.9288468
167,1896252,2021-01-06,Virginia,Manassas,10010 Ellis Rd,3,3,38.7374352,-77.42864589999999
168,1894822,2021-01-04,Louisiana,New Orleans,1600 block of N Galvez St,0,4,29.9756745,-90.0698773
169,1894979,2021-01-04,Florida,Tampa,1225 S 78th St,0,5,27.9367999,-82.3690376
170,1894941,2021-01-04,Florida,Fort Lauderdale (Lauderhill),1828 NW 38th Ave,0,7,26.1488122,-80.1995457
171,1893953,2021-01-03,Oregon,Gresham,NE 181st Ave and NE San Rafael St,0,4,45.5371044,-122.4772596
172,1893327,2021-01-03,Texas,Houston,2900 Travis St,1,4,29.7437558,-95.3771472
173,1893754,2021-01-03,Florida,Miami,3632 NW 25th Ave,0,6,25.8096843,-80.2386226
174,1893601,2021-01-03,Louisiana,Shreveport,6900 block of Jewella Ave,2,3,32.4443755,-93.798176
175,1893877,2021-01-03,California,Santa Barbara,1200 block of Liberty St,2,2,34.4215939,-119.6710195
176,1893744,2021-01-03,Florida,Miami,10525 NW 24th Ave,0,8,25.8708616,-80.2389276
177,1892034,2021-01-01,Arkansas,Fort Smith,3211 Towson Ave,0,7,35.3529093,-94.4217055
178,1892704,2021-01-01,Texas,Amarillo,2650 Dumas Dr,1,3,35.241882,-101.8302858
179,1892114,2021-01-01,Iowa,Sioux City,2637 S Walker St,1,4,42.4629178,-96.3317879
180,1891720,2021-01-01,Illinois,Galesburg,1000 block of Monroe St,0,4,40.95920599999999,-90.38174330000001
181,1891461,2020-12-31,Indiana,Indianapolis,8215 Center Run Road,1,3,39.9067392,-86.0570729
182,1890946,2020-12-31,Oregon,Happy Valley,9200 block of SE Idleman Rd,0,4,45.4505414,-122.5687215
183,1886974,2020-12-26,Illinois,Rockford,4007 E State St,3,3,42.2647948,-89.03592789999999
184,1886913,2020-12-26,Florida,Tampa,N 20th St and E 7th Ave,2,2,27.96025,-82.436748
185,1887059,2020-12-26,Massachusetts,Lynn,Washington St and Quincy Ter,1,5,42.4672412,-70.95251929999999
186,1886849,2020-12-26,Florida,Miami,NW 61st St and NW 13th Ave,1,3,25.8311789,-80.218645
187,1886372,2020-12-25,Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,26.5360983,-80.0642731
188,1886721,2020-12-25,Arkansas,Atkins,5180 Pine Ridge Rd,5,0,35.1987769,-92.99986659999999
189,1886141,2020-12-24,Florida,Lakeland,1500 block of Amos Ave,1,4,28.064273,-81.9671833
190,1885251,2020-12-22,Mississippi,Meridian,Jeffrey Acres Rd,5,0,32.2995035,-88.6609658
191,1882214,2020-12-20,Connecticut,Bridgeport,456 Connecticut Ave,2,2,41.1789838,-73.1685162
192,1881213,2020-12-19,Illinois,Chicago,8936 S Cottage Grove Ave,0,6,41.7319051,-87.60500259999999
193,1876727,2020-12-13,West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,38.43352429999999,-81.483313
194,1877043,2020-12-12,California,San Bernardino,900 block of N Sierra Way,1,3,34.1161404,-117.2856434
195,1876231,2020-12-12,New York,Copiague,2336 Great Neck Rd,2,2,40.6855711,-73.4012269
196,1876039,2020-12-12,New York,Brooklyn,574 Warren St,0,4,40.6815793,-73.9822686
